DEBUG:Iteration 1: Best Makespan = 738, Global Best = 738
DEBUG:Iteration 2: Best Makespan = 737, Global Best = 737
DEBUG:Iteration 3: Best Makespan = 727, Global Best = 727
DEBUG:Iteration 4: Best Makespan = 743, Global Best = 727
DEBUG:Iteration 5: Best Makespan = 723, Global Best = 723
DEBUG:Iteration 6: Best Makespan = 700, Global Best = 700
DEBUG:Iteration 7: Best Makespan = 733, Global Best = 700
DEBUG:Iteration 8: Best Makespan = 700, Global Best = 700
DEBUG:Iteration 9: Best Makespan = 719, Global Best = 700
DEBUG:Iteration 10: Best Makespan = 735, Global Best = 700
DEBUG:Iteration 11: Best Makespan = 724, Global Best = 700
DEBUG:Iteration 12: Best Makespan = 721, Global Best = 700
DEBUG:Iteration 13: Best Makespan = 744, Global Best = 700
DEBUG:Iteration 14: Best Makespan = 736, Global Best = 700
DEBUG:Iteration 15: Best Makespan = 740, Global Best = 700
DEBUG:Iteration 16: Best Makespan = 734, Global Best = 700
DEBUG:Iteration 17: Best Makespan = 715, Global Best = 700
DEBUG:Iteration 18: Best Makespan = 707, Global Best = 700
DEBUG:Iteration 19: Best Makespan = 727, Global Best = 700
DEBUG:Iteration 20: Best Makespan = 744, Global Best = 700
DEBUG:Iteration 21: Best Makespan = 744, Global Best = 700
DEBUG:Iteration 22: Best Makespan = 727, Global Best = 700
DEBUG:Iteration 23: Best Makespan = 709, Global Best = 700
DEBUG:Iteration 24: Best Makespan = 738, Global Best = 700
DEBUG:Iteration 25: Best Makespan = 735, Global Best = 700
DEBUG:Iteration 26: Best Makespan = 733, Global Best = 700
DEBUG:Iteration 27: Best Makespan = 755, Global Best = 700
DEBUG:Iteration 28: Best Makespan = 736, Global Best = 700
DEBUG:Iteration 29: Best Makespan = 735, Global Best = 700
DEBUG:Iteration 30: Best Makespan = 733, Global Best = 700
DEBUG:Iteration 31: Best Makespan = 738, Global Best = 700
DEBUG:Iteration 32: Best Makespan = 755, Global Best = 700
DEBUG:Iteration 33: Best Makespan = 757, Global Best = 700
DEBUG:Iteration 34: Best Makespan = 744, Global Best = 700
DEBUG:Iteration 35: Best Makespan = 742, Global Best = 700
DEBUG:Iteration 36: Best Makespan = 735, Global Best = 700
DEBUG:Iteration 37: Best Makespan = 735, Global Best = 700
DEBUG:Iteration 38: Best Makespan = 724, Global Best = 700
DEBUG:Iteration 39: Best Makespan = 737, Global Best = 700
DEBUG:Iteration 40: Best Makespan = 761, Global Best = 700
DEBUG:Iteration 41: Best Makespan = 735, Global Best = 700
DEBUG:Iteration 42: Best Makespan = 735, Global Best = 700
DEBUG:Iteration 43: Best Makespan = 775, Global Best = 700
DEBUG:Iteration 44: Best Makespan = 755, Global Best = 700
DEBUG:Iteration 45: Best Makespan = 757, Global Best = 700
DEBUG:Iteration 46: Best Makespan = 767, Global Best = 700
DEBUG:Iteration 47: Best Makespan = 747, Global Best = 700
DEBUG:Iteration 48: Best Makespan = 735, Global Best = 700
DEBUG:Iteration 49: Best Makespan = 756, Global Best = 700
DEBUG:Iteration 50: Best Makespan = 761, Global Best = 700
DEBUG:Iteration 51: Best Makespan = 715, Global Best = 700
DEBUG:Iteration 52: Best Makespan = 768, Global Best = 700
DEBUG:Iteration 53: Best Makespan = 756, Global Best = 700
DEBUG:Iteration 54: Best Makespan = 740, Global Best = 700
DEBUG:Iteration 55: Best Makespan = 737, Global Best = 700
DEBUG:Iteration 56: Best Makespan = 734, Global Best = 700
DEBUG:Iteration 57: Best Makespan = 740, Global Best = 700
DEBUG:Iteration 58: Best Makespan = 750, Global Best = 700
DEBUG:Iteration 59: Best Makespan = 735, Global Best = 700
DEBUG:Iteration 60: Best Makespan = 755, Global Best = 700
DEBUG:Iteration 61: Best Makespan = 735, Global Best = 700
DEBUG:Iteration 62: Best Makespan = 748, Global Best = 700
DEBUG:Iteration 63: Best Makespan = 755, Global Best = 700
DEBUG:Iteration 64: Best Makespan = 757, Global Best = 700
DEBUG:Iteration 65: Best Makespan = 688, Global Best = 688
DEBUG:Iteration 66: Best Makespan = 752, Global Best = 688
DEBUG:Iteration 67: Best Makespan = 764, Global Best = 688
DEBUG:Iteration 68: Best Makespan = 769, Global Best = 688
DEBUG:Iteration 69: Best Makespan = 730, Global Best = 688
DEBUG:Iteration 70: Best Makespan = 767, Global Best = 688
DEBUG:Iteration 71: Best Makespan = 717, Global Best = 688
DEBUG:Iteration 72: Best Makespan = 766, Global Best = 688
DEBUG:Iteration 73: Best Makespan = 783, Global Best = 688
DEBUG:Iteration 74: Best Makespan = 754, Global Best = 688
DEBUG:Iteration 75: Best Makespan = 793, Global Best = 688
DEBUG:Iteration 76: Best Makespan = 748, Global Best = 688
DEBUG:Iteration 77: Best Makespan = 762, Global Best = 688
DEBUG:Iteration 78: Best Makespan = 775, Global Best = 688
DEBUG:Iteration 79: Best Makespan = 791, Global Best = 688
DEBUG:Iteration 80: Best Makespan = 754, Global Best = 688
DEBUG:Iteration 81: Best Makespan = 753, Global Best = 688
DEBUG:Iteration 82: Best Makespan = 740, Global Best = 688
DEBUG:Iteration 83: Best Makespan = 742, Global Best = 688
DEBUG:Iteration 84: Best Makespan = 780, Global Best = 688
DEBUG:Iteration 85: Best Makespan = 760, Global Best = 688
DEBUG:Iteration 86: Best Makespan = 777, Global Best = 688
DEBUG:Iteration 87: Best Makespan = 763, Global Best = 688
DEBUG:Iteration 88: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 89: Best Makespan = 740, Global Best = 688
DEBUG:Iteration 90: Best Makespan = 779, Global Best = 688
DEBUG:Iteration 91: Best Makespan = 758, Global Best = 688
DEBUG:Iteration 92: Best Makespan = 726, Global Best = 688
DEBUG:Iteration 93: Best Makespan = 800, Global Best = 688
DEBUG:Iteration 94: Best Makespan = 750, Global Best = 688
DEBUG:Iteration 95: Best Makespan = 744, Global Best = 688
DEBUG:Iteration 96: Best Makespan = 784, Global Best = 688
DEBUG:Iteration 97: Best Makespan = 782, Global Best = 688
DEBUG:Iteration 98: Best Makespan = 770, Global Best = 688
DEBUG:Iteration 99: Best Makespan = 726, Global Best = 688
DEBUG:Iteration 100: Best Makespan = 789, Global Best = 688
DEBUG:Iteration 101: Best Makespan = 803, Global Best = 688
DEBUG:Iteration 102: Best Makespan = 772, Global Best = 688
DEBUG:Iteration 103: Best Makespan = 750, Global Best = 688
DEBUG:Iteration 104: Best Makespan = 760, Global Best = 688
DEBUG:Iteration 105: Best Makespan = 767, Global Best = 688
DEBUG:Iteration 106: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 107: Best Makespan = 736, Global Best = 688
DEBUG:Iteration 108: Best Makespan = 767, Global Best = 688
DEBUG:Iteration 109: Best Makespan = 763, Global Best = 688
DEBUG:Iteration 110: Best Makespan = 775, Global Best = 688
DEBUG:Iteration 111: Best Makespan = 772, Global Best = 688
DEBUG:Iteration 112: Best Makespan = 749, Global Best = 688
DEBUG:Iteration 113: Best Makespan = 778, Global Best = 688
DEBUG:Iteration 114: Best Makespan = 766, Global Best = 688
DEBUG:Iteration 115: Best Makespan = 790, Global Best = 688
DEBUG:Iteration 116: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 117: Best Makespan = 740, Global Best = 688
DEBUG:Iteration 118: Best Makespan = 772, Global Best = 688
DEBUG:Iteration 119: Best Makespan = 782, Global Best = 688
DEBUG:Iteration 120: Best Makespan = 777, Global Best = 688
DEBUG:Iteration 121: Best Makespan = 746, Global Best = 688
DEBUG:Iteration 122: Best Makespan = 756, Global Best = 688
DEBUG:Iteration 123: Best Makespan = 741, Global Best = 688
DEBUG:Iteration 124: Best Makespan = 760, Global Best = 688
DEBUG:Iteration 125: Best Makespan = 775, Global Best = 688
DEBUG:Iteration 126: Best Makespan = 761, Global Best = 688
DEBUG:Iteration 127: Best Makespan = 764, Global Best = 688
DEBUG:Iteration 128: Best Makespan = 747, Global Best = 688
DEBUG:Iteration 129: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 130: Best Makespan = 750, Global Best = 688
DEBUG:Iteration 131: Best Makespan = 763, Global Best = 688
DEBUG:Iteration 132: Best Makespan = 766, Global Best = 688
DEBUG:Iteration 133: Best Makespan = 787, Global Best = 688
DEBUG:Iteration 134: Best Makespan = 745, Global Best = 688
DEBUG:Iteration 135: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 136: Best Makespan = 764, Global Best = 688
DEBUG:Iteration 137: Best Makespan = 769, Global Best = 688
DEBUG:Iteration 138: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 139: Best Makespan = 776, Global Best = 688
DEBUG:Iteration 140: Best Makespan = 791, Global Best = 688
DEBUG:Iteration 141: Best Makespan = 761, Global Best = 688
DEBUG:Iteration 142: Best Makespan = 775, Global Best = 688
DEBUG:Iteration 143: Best Makespan = 786, Global Best = 688
DEBUG:Iteration 144: Best Makespan = 740, Global Best = 688
DEBUG:Iteration 145: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 146: Best Makespan = 763, Global Best = 688
DEBUG:Iteration 147: Best Makespan = 744, Global Best = 688
DEBUG:Iteration 148: Best Makespan = 783, Global Best = 688
DEBUG:Iteration 149: Best Makespan = 769, Global Best = 688
DEBUG:Iteration 150: Best Makespan = 733, Global Best = 688
DEBUG:Iteration 151: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 152: Best Makespan = 775, Global Best = 688
DEBUG:Iteration 153: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 154: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 155: Best Makespan = 773, Global Best = 688
DEBUG:Iteration 156: Best Makespan = 759, Global Best = 688
DEBUG:Iteration 157: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 158: Best Makespan = 757, Global Best = 688
DEBUG:Iteration 159: Best Makespan = 742, Global Best = 688
DEBUG:Iteration 160: Best Makespan = 775, Global Best = 688
DEBUG:Iteration 161: Best Makespan = 782, Global Best = 688
DEBUG:Iteration 162: Best Makespan = 756, Global Best = 688
DEBUG:Iteration 163: Best Makespan = 749, Global Best = 688
DEBUG:Iteration 164: Best Makespan = 742, Global Best = 688
DEBUG:Iteration 165: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 166: Best Makespan = 731, Global Best = 688
DEBUG:Iteration 167: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 168: Best Makespan = 738, Global Best = 688
DEBUG:Iteration 169: Best Makespan = 766, Global Best = 688
DEBUG:Iteration 170: Best Makespan = 792, Global Best = 688
DEBUG:Iteration 171: Best Makespan = 717, Global Best = 688
DEBUG:Iteration 172: Best Makespan = 774, Global Best = 688
DEBUG:Iteration 173: Best Makespan = 750, Global Best = 688
DEBUG:Iteration 174: Best Makespan = 721, Global Best = 688
DEBUG:Iteration 175: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 176: Best Makespan = 738, Global Best = 688
DEBUG:Iteration 177: Best Makespan = 750, Global Best = 688
DEBUG:Iteration 178: Best Makespan = 756, Global Best = 688
DEBUG:Iteration 179: Best Makespan = 765, Global Best = 688
DEBUG:Iteration 180: Best Makespan = 746, Global Best = 688
DEBUG:Iteration 181: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 182: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 183: Best Makespan = 747, Global Best = 688
DEBUG:Iteration 184: Best Makespan = 744, Global Best = 688
DEBUG:Iteration 185: Best Makespan = 767, Global Best = 688
DEBUG:Iteration 186: Best Makespan = 768, Global Best = 688
DEBUG:Iteration 187: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 188: Best Makespan = 760, Global Best = 688
DEBUG:Iteration 189: Best Makespan = 747, Global Best = 688
DEBUG:Iteration 190: Best Makespan = 728, Global Best = 688
DEBUG:Iteration 191: Best Makespan = 705, Global Best = 688
DEBUG:Iteration 192: Best Makespan = 741, Global Best = 688
DEBUG:Iteration 193: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 194: Best Makespan = 770, Global Best = 688
DEBUG:Iteration 195: Best Makespan = 748, Global Best = 688
DEBUG:Iteration 196: Best Makespan = 775, Global Best = 688
DEBUG:Iteration 197: Best Makespan = 760, Global Best = 688
DEBUG:Iteration 198: Best Makespan = 740, Global Best = 688
DEBUG:Iteration 199: Best Makespan = 750, Global Best = 688
DEBUG:Iteration 200: Best Makespan = 764, Global Best = 688
DEBUG:Iteration 201: Best Makespan = 706, Global Best = 688
DEBUG:Iteration 202: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 203: Best Makespan = 762, Global Best = 688
DEBUG:Iteration 204: Best Makespan = 723, Global Best = 688
DEBUG:Iteration 205: Best Makespan = 738, Global Best = 688
DEBUG:Iteration 206: Best Makespan = 723, Global Best = 688
DEBUG:Iteration 207: Best Makespan = 739, Global Best = 688
DEBUG:Iteration 208: Best Makespan = 740, Global Best = 688
DEBUG:Iteration 209: Best Makespan = 726, Global Best = 688
DEBUG:Iteration 210: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 211: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 212: Best Makespan = 746, Global Best = 688
DEBUG:Iteration 213: Best Makespan = 774, Global Best = 688
DEBUG:Iteration 214: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 215: Best Makespan = 738, Global Best = 688
DEBUG:Iteration 216: Best Makespan = 734, Global Best = 688
DEBUG:Iteration 217: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 218: Best Makespan = 744, Global Best = 688
DEBUG:Iteration 219: Best Makespan = 742, Global Best = 688
DEBUG:Iteration 220: Best Makespan = 764, Global Best = 688
DEBUG:Iteration 221: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 222: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 223: Best Makespan = 750, Global Best = 688
DEBUG:Iteration 224: Best Makespan = 749, Global Best = 688
DEBUG:Iteration 225: Best Makespan = 777, Global Best = 688
DEBUG:Iteration 226: Best Makespan = 750, Global Best = 688
DEBUG:Iteration 227: Best Makespan = 721, Global Best = 688
DEBUG:Iteration 228: Best Makespan = 744, Global Best = 688
DEBUG:Iteration 229: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 230: Best Makespan = 761, Global Best = 688
DEBUG:Iteration 231: Best Makespan = 750, Global Best = 688
DEBUG:Iteration 232: Best Makespan = 755, Global Best = 688
DEBUG:Iteration 233: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 234: Best Makespan = 721, Global Best = 688
DEBUG:Iteration 235: Best Makespan = 742, Global Best = 688
DEBUG:Iteration 236: Best Makespan = 775, Global Best = 688
DEBUG:Iteration 237: Best Makespan = 735, Global Best = 688
DEBUG:Iteration 238: Best Makespan = 766, Global Best = 688
DEBUG:Iteration 239: Best Makespan = 733, Global Best = 688
DEBUG:Iteration 240: Best Makespan = 758, Global Best = 688
DEBUG:Iteration 241: Best Makespan = 750, Global Best = 688
DEBUG:Iteration 242: Best Makespan = 740, Global Best = 688
